Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
50.000	8.6498	6.6867	0.0125	02-09-2019-15:03:18
50.000	8.6485	6.6915	0.0125	02-09-2019-15:03:38
50.000	8.6452	6.6978	0.0125	02-09-2019-15:03:59
50.000	8.6490	6.6982	0.0125	02-09-2019-15:04:19
60.000	8.7892	5.5065	0.0150	02-09-2019-15:04:38
60.000	8.7867	5.5107	0.0150	02-09-2019-15:04:58
60.000	8.7857	5.5141	0.0150	02-09-2019-15:05:17
60.000	8.7860	5.5167	0.0150	02-09-2019-15:05:37
80.000	8.9017	4.1142	0.0200	02-09-2019-15:05:48
80.000	8.9025	4.1153	0.0200	02-09-2019-15:06:00
80.000	8.9021	4.1168	0.0200	02-09-2019-15:06:12
80.000	8.9021	4.1180	0.0200	02-09-2019-15:06:24
100.00	8.89528	3.33048	0.0750	02-09-2019-15:06:35
100.00	8.89528	3.33129	0.0750	02-09-2019-15:06:45
100.00	8.8948	3.33236	0.0750	02-09-2019-15:06:55
100.00	8.89469	3.33316	0.0750	02-09-2019-15:07:06
120.00	8.8319	2.82976	0.0900	02-09-2019-15:07:16
120.00	8.83158	2.83049	0.0900	02-09-2019-15:07:25
120.00	8.8320	2.83099	0.0900	02-09-2019-15:07:35
120.00	8.83224	2.83158	0.0900	02-09-2019-15:07:45
160.00	8.64199	2.224131	0.100	02-09-2019-15:07:52
160.00	8.64193	2.224448	0.100	02-09-2019-15:07:58
160.00	8.64257	2.224648	0.100	02-09-2019-15:08:05
160.00	8.64262	2.22500	0.100	02-09-2019-15:08:12
200.00	8.43358	1.869914	0.100	02-09-2019-15:08:18
200.00	8.43436	1.87000	0.100	02-09-2019-15:08:24
200.00	8.43424	1.87030	0.100	02-09-2019-15:08:31
200.00	8.43397	1.870607	0.100	02-09-2019-15:08:37
240.00	8.23523	1.635477	0.100	02-09-2019-15:08:43
240.00	8.23586	1.635620	0.100	02-09-2019-15:08:49
240.00	8.23544	1.635906	0.100	02-09-2019-15:08:55
240.00	8.23584	1.636045	0.100	02-09-2019-15:09:01
320.00	7.88968	1.34007	0.100	02-09-2019-15:09:04
320.00	7.88989	1.340126	0.100	02-09-2019-15:09:08
320.00	7.89000	1.340211	0.100	02-09-2019-15:09:11
320.00	7.88989	1.340325	0.100	02-09-2019-15:09:14
400.00	7.60752	1.158682	0.100	02-09-2019-15:09:17
400.00	7.60763	1.158732	0.100	02-09-2019-15:09:20
400.00	7.607587	1.158785	0.100	02-09-2019-15:09:22
400.00	7.60778	1.158828	0.100	02-09-2019-15:09:25
500.00	7.32457	1.008309	0.100	02-09-2019-15:09:28
500.00	7.32475	1.008317	0.100	02-09-2019-15:09:31
500.00	7.32482	1.008348	0.100	02-09-2019-15:09:34
500.00	7.324911	1.008385	0.100	02-09-2019-15:09:37
600.00	7.09784	0.903777	0.100	02-09-2019-15:09:38
600.00	7.0981	0.90377	0.100	02-09-2019-15:09:39
600.00	7.09792	0.90377	0.100	02-09-2019-15:09:40
600.00	7.0977	0.90384	0.100	02-09-2019-15:09:41
800.00	6.7543	0.76517	0.100	02-09-2019-15:09:42
800.00	6.7544	0.76516	0.100	02-09-2019-15:09:43
800.00	6.7544	0.76519	0.100	02-09-2019-15:09:44
800.00	6.7543	0.76521	0.100	02-09-2019-15:09:45
1000.0	6.5045	0.67542	0.100	02-09-2019-15:09:46
1000.0	6.5043	0.67541	0.100	02-09-2019-15:09:47
1000.0	6.5043	0.67543	0.100	02-09-2019-15:09:48
1000.0	6.5047	0.67540	0.100	02-09-2019-15:09:49
1200.0	6.312	0.6116	0.100	02-09-2019-15:09:50
1200.0	6.312	0.6116	0.100	02-09-2019-15:09:50
1200.0	6.312	0.6116	0.100	02-09-2019-15:09:51
1200.0	6.311	0.6117	0.100	02-09-2019-15:09:52
1600.0	6.03147	0.52472	0.100	02-09-2019-15:09:52
1600.0	6.03178	0.52468	0.100	02-09-2019-15:09:53
1600.0	6.03153	0.524730	0.100	02-09-2019-15:09:54
1600.0	6.03157	0.52473	0.100	02-09-2019-15:09:55
2000.0	5.83395	0.46723	0.100	02-09-2019-15:09:55
2000.0	5.8337	0.46725	0.100	02-09-2019-15:09:56
2000.0	5.83383	0.46729	0.100	02-09-2019-15:09:57
2000.0	5.8341	0.46720	0.100	02-09-2019-15:09:57
2400.0	5.68397	0.42557	0.100	02-09-2019-15:09:58
2400.0	5.6842	0.42553	0.100	02-09-2019-15:09:59
2400.0	5.68424	0.425509	0.100	02-09-2019-15:09:59
2400.0	5.68417	0.42550	0.100	02-09-2019-15:10:00
3200.0	5.47036	0.36835	0.100	02-09-2019-15:10:01
3200.0	5.47028	0.368365	0.100	02-09-2019-15:10:01
3200.0	5.47032	0.36836	0.100	02-09-2019-15:10:02
3200.0	5.47024	0.36834	0.100	02-09-2019-15:10:03
4000.0	5.32051	0.329991	0.100	02-09-2019-15:10:04
4000.0	5.32067	0.330005	0.100	02-09-2019-15:10:04
4000.0	5.32057	0.329972	0.100	02-09-2019-15:10:05
4000.0	5.3207	0.33001	0.100	02-09-2019-15:10:06
5000.0	5.18449	0.29613	0.100	02-09-2019-15:10:06
5000.0	5.18457	0.296175	0.100	02-09-2019-15:10:07
5000.0	5.18441	0.29621	0.100	02-09-2019-15:10:07
5000.0	5.18441	0.296213	0.100	02-09-2019-15:10:08
6000.0	5.083	0.2716	0.100	02-09-2019-15:10:09
6000.0	5.083	0.2714	0.100	02-09-2019-15:10:10
6000.0	5.081	0.2714	0.100	02-09-2019-15:10:10
