#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
3.200000000000000000e+03	0.000000000000000000e+00	4.854974999999999596e+00	1.306713434538111910e-04	2.160245000000000082e-01	1.705139290497399430e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740949000000000e+09	7.071067811865475727e-01	2.010619298297467685e+04	4.854974999999999111e-12	4.742203064065217227e+07	3.954776132279324884e+03	2.114354501584528945e+06	1.939540697453274447e+02	9.787568084104018286e+06	2.507377816160197597e+02	1.001334029978719726e+07	4.378126696766558723e+01
1.600000000000000000e+04	0.000000000000000000e+00	4.335449999999999804e+00	4.999999999988347099e-05	1.090774999999999939e-01	2.861380785564911498e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740967500000000e+09	5.000000000000000000e-01	1.005309649148733733e+05	4.335450000000000070e-12	2.103443211405633390e+07	5.523197500056353419e+03	2.473229668396972702e+05	6.366471356272391091e+01	2.267405898005522322e+06	2.912115305564007528e+01	2.280854698624316137e+06	8.742782395749989277e+00
5.000000000000000000e+03	0.000000000000000000e+00	4.675575000000000259e+00	2.046338192970667579e-04	1.770599999999999952e-01	1.870828693386616067e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740954250000000e+09	8.291561975888499525e-01	3.141592653589793190e+04	4.675575000000000098e-12	3.844984909006117284e+07	4.397375128850269903e+03	1.168770883447975153e+06	1.600021605680954337e+02	6.600987707262934186e+06	2.751929620663075866e+02	6.703660499266957864e+06	3.232675772236918732e+01
4.000000000000000000e+02	0.000000000000000000e+00	6.311550000000000438e+00	2.441311123146726694e-04	5.993995249999999331e-01	7.207896277691065549e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740909250000000e+09	3.031088913245535199e+00	2.513274122871834606e+03	6.311550000000000102e-12	1.051738371183133423e+08	1.328553258591083977e+04	2.779915837451158091e+07	2.289748303008095718e+03	4.637834568606236577e+07	3.210358852814223610e+03	5.407165759348493814e+07	1.178201248724096558e+03
1.000000000000000000e+04	0.000000000000000000e+00	4.454464999999999897e+00	8.170067319200929239e-05	1.318600000000000050e-01	5.244044240850709228e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740962250000000e+09	8.291561975888499525e-01	6.283185307179586380e+04	4.454464999999999640e-12	2.709639466791722178e+07	1.078763271788477869e+04	4.630751144224589225e+05	1.788394544356346501e+02	3.511869516323820222e+06	7.844680147577277296e+01	3.542268490851854905e+06	2.497403350815383405e+01
1.600000000000000000e+02	0.000000000000000000e+00	7.377809999999999313e+00	6.441661276410104442e-04	1.003857250000000034e+00	3.247601999937856933e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549740829750000000e+09	7.495832175282474807e+00	1.005309649148733797e+03	7.377809999999998832e-12	1.343076413904012144e+08	4.500478335627152410e+04	6.741235020382972062e+07	5.863844876858945099e+03	6.715332304850088060e+07	2.258886551103273450e+04	9.515247635484901071e+07	4.155692068997955175e+03
8.000000000000000000e+02	0.000000000000000000e+00	5.685100000000000264e+00	1.000000000002110312e-04	4.189150000000000373e-01	2.499999999999724665e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740931250000000e+09	8.291561975888499525e-01	5.026548245743669213e+03	5.685100000000000484e-12	8.353454762423539162e+07	5.197207456864374763e+03	1.247093716780342720e+07	6.599098354626049741e+02	2.976961237435619906e+07	6.638779574858371006e+02	3.227621562021673471e+07	2.560821367613337429e+02
4.000000000000000000e+03	0.000000000000000000e+00	4.761104999999999698e+00	6.383572667381061719e-05	1.953900000000000081e-01	0.000000000000000000e+00	1.000000000000000056e-01	0.000000000000000000e+00	1.549740951750000000e+09	8.291561975888499525e-01	2.513274122871834334e+04	4.761104999999999633e-12	4.277106339561654627e+07	5.734639148833734907e+02	1.572835145960462047e+06	4.507911717980947941e+01	8.049721817700301297e+06	1.003054719326000708e+02	8.201940730018030852e+06	1.308988188399523267e+01
2.000000000000000000e+04	0.000000000000000000e+00	4.286222500000000935e+00	2.109946681791926594e-04	9.994500000000000606e-02	1.118033988749461375e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740970000000000e+09	7.071067811865475727e-01	1.256637061435917276e+05	4.286222500000000925e-12	1.857609194126763940e+07	2.270313478867130925e+03	1.837214445288446441e+05	2.837531404608584040e+01	1.838225469296558993e+06	8.881029312699303091e+01	1.847383675674958387e+06	9.792605709529233593e+00
1.200000000000000000e+03	0.000000000000000000e+00	5.390249999999999986e+00	4.330127018923639803e-04	3.427749999999999964e-01	4.330127018921716157e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740938000000000e+09	7.071067811865475727e-01	7.539822368615503365e+03	5.390249999999999978e-12	7.178287325042377412e+07	1.074623185566212487e+04	7.547335300868791528e+06	1.404850611634564984e+03	2.201833652065871283e+07	1.559365766022303433e+03	2.327594065297283232e+07	4.570586143697452144e+02
5.000000000000000000e+01	0.000000000000000000e+00	8.735249999999998849e+00	1.867484939698024022e-03	2.210774999999999935e+00	4.103203017156152078e-03	3.749999999999999861e-02	0.000000000000000000e+00	1.549740570000000000e+09	2.303258561256204118e+01	3.141592653589793258e+02	8.735249999999998347e-12	1.648277171080304682e+08	3.079433822428286076e+05	1.368316260010147393e+08	1.690903668012162962e+05	6.189305831711266935e+07	1.921843736217545229e+05	1.501787086837780774e+08	1.540626227456791094e+05
6.000000000000000000e+01	0.000000000000000000e+00	8.569350000000000023e+00	1.346291201783787056e-03	1.928367500000000012e+00	2.859662348949545269e-03	4.499999999999999833e-02	0.000000000000000000e+00	1.549740649000000000e+09	2.169101196348386296e+01	3.769911184307751455e+02	8.569350000000000437e-12	1.605207560698931515e+08	2.393755283142552653e+05	1.265020397694567293e+08	1.090131286097352131e+05	6.560058690548183769e+07	1.543030135313381325e+05	1.424998353268412948e+08	9.677489924873219570e+04
3.200000000000000000e+02	0.000000000000000000e+00	6.548275000000000290e+00	3.272995569810666539e-04	6.760374999999999579e-01	8.025116821579048715e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740897000000000e+09	3.807886552931954327e+00	2.010619298297467594e+03	6.548275000000000388e-12	1.123498395700757504e+08	1.447085292338601721e+04	3.524086177190551907e+07	2.950799137182271352e+03	5.212856057823052257e+07	4.322591190536927570e+03	6.292300983253106475e+07	1.653531315153615878e+03
1.600000000000000000e+03	0.000000000000000000e+00	5.209720000000000795e+00	8.154753215157180149e-05	2.983044999999999725e-01	2.984543516184919173e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740940750000000e+09	8.291561975888499525e-01	1.005309649148733843e+04	5.209720000000000545e-12	6.400677735334505141e+07	6.481793044151797403e+03	5.230261998871432617e+06	4.679100957291855707e+02	1.753329902455857396e+07	3.700212287154584487e+02	1.829678155472774059e+07	1.350195485315182395e+02
8.000000000000000000e+03	0.000000000000000000e+00	4.519000000000000128e+00	1.999999999999779732e-04	1.447299999999999975e-01	1.000000000001000089e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740959750000000e+09	8.291561975888499525e-01	5.026548245743668667e+04	4.519000000000000434e-12	3.041790093926783651e+07	2.495888101412886954e+03	6.240843107419748558e+05	7.306922622992649963e+01	4.312059080646547489e+06	1.835853033309243187e+02	4.356986887965194881e+06	1.701062259616816519e+01
2.000000000000000000e+02	0.000000000000000000e+00	7.097920000000000229e+00	5.467632028584668100e-04	8.800707500000000127e-01	2.467411345925227565e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549740855000000000e+09	6.708203932499369415e+00	1.256637061435917303e+03	7.097919999999999709e-12	1.273917925834487975e+08	3.703979480595742643e+04	5.560253817286270112e+07	5.246254713348865153e+03	6.317962297106532753e+07	1.604759681192392782e+04	8.416238476915100217e+07	3.467283573395762687e+03
8.000000000000000000e+01	0.000000000000000000e+00	8.251342499999999802e+00	1.161817003662890188e-03	1.567832499999999962e+00	1.224323792956800300e-03	1.000000000000000056e-01	0.000000000000000000e+00	1.549740709000000000e+09	1.408900280360537138e+01	5.026548245743668986e+02	8.251342500000000088e-12	1.537821284304715991e+08	1.220252986917587550e+05	1.093119904632112831e+08	3.764079663739814714e+04	6.972172758455465734e+07	7.875981949190149317e+04	1.296542731899108887e+08	3.173545172361035657e+04
