#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
3.200000000000000000e+03	0.000000000000000000e+00	4.484159999999999258e+00	3.316624790343652860e-05	1.363570000000000060e-01	4.123105625621783948e-06	1.000000000000000056e-01	0.000000000000000000e+00	1.549740024750000000e+09	8.291561975888499525e-01	2.010619298297467685e+04	4.484159999999999343e-12	8.134139481640645862e+07	2.532078902887857566e+03	1.484792293440307258e+06	4.947859677472195017e+01	1.088900675022409484e+07	7.857874794717098155e+01	1.098977143352334015e+07	1.103776111904759283e+01
1.600000000000000000e+04	0.000000000000000000e+00	4.137850000000000250e+00	8.660254037862661995e-05	7.360749999999999238e-02	1.299038105676755337e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740043250000000e+09	8.291561975888499525e-01	1.005309649148733733e+05	4.137850000000000185e-12	3.265903425106588751e+07	5.804113100762754584e+03	1.759951863940629992e+05	3.179626274072339243e+01	2.390995297952830791e+06	4.971404915767624999e+01	2.397463830898482352e+06	7.409069014261141284e+00
5.000000000000000000e+03	0.000000000000000000e+00	4.366430000000000256e+00	1.423024947076043025e-04	1.138425000000000131e-01	1.299038105676755337e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740030000000000e+09	7.071067811865475727e-01	3.141592653589793190e+04	4.366430000000000005e-12	6.403526346991658956e+07	7.599136285212547591e+03	8.192863214336157544e+05	1.084178747734280250e+02	7.196664878526172601e+06	2.295811223337522620e+02	7.243149553219259717e+06	1.941735199771907006e+01
4.000000000000000000e+02	0.000000000000000000e+00	5.426173499999999983e+00	1.627167784834470635e-04	3.469272500000000203e-01	6.265929699573544328e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549739985250000000e+09	3.031088913245535199e+00	2.513274122871834606e+03	5.426173499999999689e-12	2.113625552456510067e+08	3.869725360231492232e+04	2.270637771173632890e+07	3.482971813962310534e+03	6.544996886735279858e+07	3.000538328822536641e+03	6.927682161824029684e+07	1.142761641269255279e+03
1.000000000000000000e+04	0.000000000000000000e+00	4.218822499999999920e+00	1.449784466737445211e-04	8.727825000000000166e-02	2.211758350272650893e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740038000000000e+09	7.071067811865475727e-01	6.283185307179586380e+04	4.218822499999999818e-12	4.322379038276186585e+07	1.105379410693475984e+04	3.267677662020960124e+05	8.526682100881417625e+01	3.743977064183757640e+06	1.275394820566103533e+02	3.758209870425377972e+06	1.347364332382910845e+01
1.600000000000000000e+02	0.000000000000000000e+00	6.171624999999999694e+00	7.610683280756596822e-04	5.481032500000000418e-01	2.566051197852684831e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549739905500000000e+09	7.826237921249264318e+00	1.005309649148733797e+03	6.171624999999999968e-12	2.940615500391626358e+08	1.423663898846961965e+05	6.793292284060505033e+07	2.188714134975721390e+04	1.239418354855677933e+08	2.891781018964790928e+04	1.413381073497135639e+08	1.052091957467695829e+04
8.000000000000000000e+02	0.000000000000000000e+00	5.018750000000000711e+00	8.660254037862661995e-05	2.499949999999999950e-01	1.658312395178103283e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740006500000000e+09	1.118033988749894903e+00	5.026548245743669213e+03	5.018750000000000602e-12	1.585635130803690255e+08	1.086818262375747327e+04	9.326914333889048547e+06	6.402812509538018730e+02	3.730840350362626463e+07	6.427913024236964930e+02	3.845657684949477762e+07	1.572239563559173803e+02
4.000000000000000000e+03	0.000000000000000000e+00	4.422857500000000108e+00	4.763139720811236763e-05	1.244774999999999909e-01	1.089724735885143888e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740027250000000e+09	8.291561975888499525e-01	2.513274122871834334e+04	4.422857500000000170e-12	7.227137806065937877e+07	6.374612486382757197e+03	1.102733102705277270e+06	9.715446950348515998e+01	8.858895002753730863e+06	9.551758055363313815e+01	8.927263912622783333e+06	1.542991962022092522e+01
2.000000000000000000e+04	0.000000000000000000e+00	4.103990000000000471e+00	8.602325267062845167e-05	6.803499999999999825e-02	2.179449471770605922e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740046000000000e+09	7.071067811865475727e-01	1.256637061435917276e+05	4.103990000000000166e-12	2.850043265794181824e+07	9.149420500676862503e+03	1.313138770006397972e+05	4.212480663404950576e+01	1.930092996261332883e+06	4.048826070123998022e+01	1.934554808866884559e+06	6.962585953670216377e+00
1.200000000000000000e+03	0.000000000000000000e+00	4.829750000000000654e+00	4.330127018923639261e-04	2.080249999999999877e-01	4.330127018922918266e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549740013750000000e+09	8.291561975888499525e-01	7.539822368615503365e+03	4.829750000000000499e-12	1.320075296132268906e+08	2.991834385421838670e+04	5.475593687123048119e+06	1.476761377856649460e+03	2.632180597102775052e+07	2.219982676138180068e+03	2.688530445806581900e+07	3.042814262832548025e+02
