#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
3.200000000000000000e+03	0.000000000000000000e+00	5.470299999999999940e+00	4.472135954999086912e-05	3.683537500000000353e-01	9.601432184837232727e-06	1.000000000000000056e-01	0.000000000000000000e+00	1.549743001750000000e+09	8.291561975888499525e-01	2.010619298297467685e+04	5.470300000000000228e-12	2.468277096836741641e+07	6.742784980112407993e+02	2.948943227165990509e+06	7.457460939599739902e+01	8.005736950325576589e+06	7.219367520318030529e+01	8.531593653875952587e+06	2.698159450712007512e+01
1.600000000000000000e+04	0.000000000000000000e+00	4.650075000000000180e+00	1.089724735886194649e-04	1.734375000000000222e-01	3.191786333701238034e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743020250000000e+09	8.291561975888499525e-01	1.005309649148733733e+05	4.650075000000000257e-12	1.233380808819815703e+07	2.288131152509068670e+03	3.601737042116640951e+05	6.501519187577513037e+01	2.076677213472657371e+06	5.104995666962362577e+01	2.107679611839074641e+06	1.315279240336666966e+01
5.000000000000000000e+03	0.000000000000000000e+00	5.184470000000000134e+00	6.633249580720781816e-05	2.961820000000000008e-01	3.353356527420699905e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743007000000000e+09	7.071067811865475727e-01	3.141592653589793190e+04	5.184470000000000425e-12	2.072941757635316625e+07	2.361911667570600457e+03	1.671805697018453153e+06	1.645305788995001421e+02	5.644521601645113900e+06	1.201249910934461411e+02	5.886897179331542924e+06	4.789184839502476621e+01
4.000000000000000000e+02	0.000000000000000000e+00	7.607629250000000454e+00	9.545515963007525796e-05	1.158756750000000002e+00	5.494258366692868228e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742961000000000e+09	2.915475947422650371e+00	2.513274122871834606e+03	7.607629249999999938e-12	4.513552763646069169e+07	2.213771164771636904e+03	2.586921263812891021e+07	3.335263599661992657e+02	2.232497255194319785e+07	1.255830861902403967e+03	3.417046329744075239e+07	2.535599290147314946e+02
1.000000000000000000e+04	0.000000000000000000e+00	4.835300000000000153e+00	1.224744871388734765e-04	2.140249999999999653e-01	1.802775637731873093e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743015000000000e+09	7.071067811865475727e-01	6.283185307179586380e+04	4.835299999999999804e-12	1.537914534645251557e+07	1.352718221505290330e+03	6.736119651292199269e+05	6.314337355465060142e+01	3.147351781937717926e+06	7.667271906208547705e+01	3.218629571546216030e+06	1.574643378894521639e+01
1.600000000000000000e+02	0.000000000000000000e+00	8.642277500000000501e+00	3.186985252554436492e-04	2.224556750000000083e+00	3.153913243893165588e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549742881750000000e+09	7.495832175282474807e+00	1.005309649148733797e+03	8.642277499999999977e-12	5.174024160862015933e+07	7.579663036229059799e+03	4.304243322704315186e+07	4.219395355397892672e+03	1.934876834544371814e+07	4.739716153412236054e+03	4.719137521401673555e+07	3.848540695188750760e+03
8.000000000000000000e+02	0.000000000000000000e+00	6.754350000000000520e+00	5.000000000032756020e-05	7.651824999999998766e-01	1.920286436966723857e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742983500000000e+09	1.118033988749894903e+00	5.026548245743669213e+03	6.754350000000000598e-12	3.849298179503966123e+07	1.007162110905316581e+03	1.421491278741640411e+07	1.645403007506064341e+02	1.857715353842568025e+07	3.607917152747592127e+02	2.339175878689108044e+07	1.011208203507498666e+02
4.000000000000000000e+03	0.000000000000000000e+00	5.320612499999999301e+00	7.628073151216678040e-05	3.299944999999999684e-01	1.473940297299512062e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743004750000000e+09	8.291561975888499525e-01	2.513274122871834334e+04	5.320612499999998903e-12	2.266166463924439996e+07	1.063061748122814379e+03	2.225431595550511498e+06	1.017310247590806398e+02	6.743844505137243308e+06	9.948486052609410990e+01	7.101548035178265534e+06	3.325706557800681651e+01
2.000000000000000000e+04	0.000000000000000000e+00	4.574310000000000542e+00	1.940360791194722554e-04	1.573224999999999763e-01	3.344772040064679716e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743022750000000e+09	8.291561975888499525e-01	1.256637061435917276e+05	4.574310000000000125e-12	1.105792661703010276e+07	2.397318925437384223e+03	2.670774975967434002e+05	5.937506100822473343e+01	1.697643360592054203e+06	7.080163481103294032e+01	1.718523601666506613e+06	1.241930188644677635e+01
1.200000000000000000e+03	0.000000000000000000e+00	6.311749999999999972e+00	4.330127018923639803e-04	6.116249999999999742e-01	4.330127018921716157e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742990750000000e+09	8.291561975888499525e-01	7.539822368615503365e+03	6.311750000000000040e-12	3.435610078643218428e+07	3.386955263275151538e+03	9.353209938776718453e+06	1.024058011475956164e+03	1.529239311469727382e+07	9.498347897664883703e+02	1.792595390302206948e+07	5.349683458607569264e+02
5.000000000000000000e+01	0.000000000000000000e+00	8.648125000000000284e+00	1.751249553889756621e-03	6.693550000000000111e+00	4.764714052280571120e-03	1.250000000000000069e-02	0.000000000000000000e+00	1.549742628500000000e+09	2.280898945591408733e+01	3.141592653589793258e+02	8.648125000000000574e-12	5.498847267484693229e+07	4.069584750547788281e+04	5.378794566942088306e+07	3.807215698473589873e+04	8.035787537169495597e+06	1.173818014576889436e+04	5.438489662285937369e+07	3.765426476183711929e+04
6.000000000000000000e+01	0.000000000000000000e+00	8.786899999999999267e+00	1.376589989793315563e-03	5.511999999999999567e+00	3.822302970723351172e-03	1.499999999999999944e-02	0.000000000000000000e+00	1.549742707500000000e+09	2.191460700081112734e+01	3.769911184307751455e+02	8.786899999999998435e-12	5.476763512765769660e+07	3.893582647014434770e+04	5.302245050522852689e+07	3.529676706774824561e+04	9.619457638829559088e+06	1.331660270588432104e+04	5.388797846314746886e+07	3.472985009693299799e+04
3.200000000000000000e+02	0.000000000000000000e+00	7.889865000000000350e+00	1.158663022624038726e-04	1.340183000000000124e+00	9.613272075623612804e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742949250000000e+09	3.699662146737185520e+00	2.010619298297467594e+03	7.889865000000000935e-12	4.703666008679262549e+07	3.443971733276217037e+03	3.021436462362056598e+07	7.053089032857301390e+02	2.254495440072032437e+07	2.122795014770614671e+03	3.769857820315843821e+07	5.659566414841594906e+02
1.600000000000000000e+03	0.000000000000000000e+00	6.031587500000000546e+00	1.166994001700531698e-04	5.247149999999999315e-01	2.061552812808199256e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742993500000000e+09	1.118033988749894903e+00	1.005309649148733843e+04	6.031587500000000324e-12	3.143004747072846070e+07	1.376468252650437080e+03	6.785327900876510888e+06	2.662687296172232436e+02	1.293145402909486368e+07	2.828513560210083142e+02	1.460353306665914319e+07	1.246111693269907477e+02
8.000000000000000000e+03	0.000000000000000000e+00	4.936799999999999855e+00	9.999999999976694198e-05	2.371824999999999906e-01	3.031088913244961159e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743012250000000e+09	8.291561975888499525e-01	5.026548245743668667e+04	4.936799999999999724e-12	1.699033605138234422e+07	2.198396667693554718e+03	9.048951375036251266e+05	1.102204290532710615e+02	3.815185089556038380e+06	8.679114320134848981e+01	3.921029517543628812e+06	2.700357074303556359e+01
2.000000000000000000e+02	0.000000000000000000e+00	8.434037500000000520e+00	2.995308832161295187e-04	1.870205249999999930e+00	2.726420501316022889e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549742907500000000e+09	7.158910531638176700e+00	1.256637061435917303e+03	8.434037499999999644e-12	5.045048393901676685e+07	7.569866129022496352e+03	3.923345156564297527e+07	3.327286051052922176e+03	2.097815283410362527e+07	4.913111647533265568e+03	4.448984848349860311e+07	2.934359228465048545e+03
8.000000000000000000e+01	0.000000000000000000e+00	8.902100000000000790e+00	2.828427124745878452e-04	4.116075000000000372e+00	1.444602021319270043e-03	2.000000000000000042e-02	0.000000000000000000e+00	1.549742766000000000e+09	1.341640786499873883e+01	5.026548245743668986e+02	8.902100000000000206e-12	5.429431978948537260e+07	1.913338063766621781e+04	5.126823029792953283e+07	1.605408641703662579e+04	1.245561130395571515e+07	8.296915562551315816e+03	5.275958387664528191e+07	1.560030085780146328e+04
2.000000000000000000e+03	0.000000000000000000e+00	5.833895000000000053e+00	1.477328670269249203e-04	4.672425000000000050e-01	3.269174207654954446e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742996250000000e+09	8.291561975888499525e-01	1.256637061435917167e+04	5.833894999999999549e-12	2.919370321833027899e+07	2.172274615246697067e+03	5.231353622510389425e+06	3.311656395844303802e+02	1.119622813102487475e+07	3.496263309992123141e+02	1.235809795582254417e+07	1.412068258321860981e+02
6.000000000000000000e+02	0.000000000000000000e+00	7.097890000000000477e+00	1.445683229480197827e-04	9.037892499999999885e-01	2.943955672220311816e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742979500000000e+09	1.118033988749894903e+00	3.769911184307751682e+03	7.097890000000000162e-12	4.134970783798141778e+07	1.588538296887928709e+03	1.859050975645504519e+07	4.229941875108915497e+02	2.056951856470415741e+07	7.118100849262813199e+02	2.772565863940042257e+07	2.843143919527456092e+02
2.400000000000000000e+03	0.000000000000000000e+00	5.684144999999999115e+00	1.040432602331986577e-04	4.255272500000000235e-01	2.697568349458481820e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742999000000000e+09	7.071067811865475727e-01	1.507964473723100673e+04	5.684144999999999303e-12	2.741677482135628909e+07	1.809046615132248007e+03	4.203337044005018659e+06	2.322851538385464494e+02	9.877950340442398563e+06	2.359187624737552653e+02	1.073508012237221003e+07	9.204316551849596806e+01
1.200000000000000000e+04	0.000000000000000000e+00	4.758967499999999795e+00	4.815340071080538928e-05	1.971087499999999992e-01	3.208874413248216369e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743017750000000e+09	8.291561975888499525e-01	7.539822368615503365e+04	4.758967500000000038e-12	1.413905041022401489e+07	2.306238949586905164e+03	5.287841501340742689e+05	8.046140201222782196e+01	2.682702569693502970e+06	4.125508174582957110e+01	2.734319980337549932e+06	1.678790342851491246e+01
1.000000000000000000e+02	0.000000000000000000e+00	8.895012499999999989e+00	2.703123193637170952e-04	3.331822499999999909e+00	1.020254257525954290e-03	7.499999999999999722e-02	0.000000000000000000e+00	1.549742810250000000e+09	1.151900603350827268e+01	6.283185307179586516e+02	8.895012499999999505e-12	5.370215481341815740e+07	1.652518988471131161e+04	4.926434206224199384e+07	1.265650647375355220e+04	1.478600437515563890e+07	8.356308453274070416e+03	5.143540924506878108e+07	1.212230909391817841e+04
1.000000000000000000e+03	0.000000000000000000e+00	6.504450000000000287e+00	1.658312395177852087e-04	6.754149999999998766e-01	1.118033988749771728e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742987500000000e+09	1.118033988749894903e+00	6.283185307179585834e+03	6.504450000000000219e-12	3.622754049536997080e+07	1.101227051446038558e+03	1.134915623025655560e+07	4.177665020451492524e+02	1.680323390842157230e+07	3.577882380638594100e+02	2.027688380693393573e+07	2.343525126626915380e+02
2.400000000000000000e+02	0.000000000000000000e+00	8.235592499999999205e+00	2.680834758056995968e-04	1.635762000000000160e+00	2.248410549699203368e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549742932000000000e+09	6.708203932499369415e+00	1.507964473723100582e+03	8.235592499999999070e-12	4.922592951573828608e+07	6.953423281483932442e+03	3.583373277654134482e+07	2.393263962991723474e+03	2.190644652250226215e+07	4.516817961476016535e+03	4.199939051871854067e+07	2.042225301370671787e+03
6.000000000000000000e+03	0.000000000000000000e+00	5.082499999999999574e+00	8.660254037843432857e-04	2.714999999999999636e-01	1.000000000000167286e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549743010000000000e+09	7.071067811865475727e-01	3.769911184307751682e+04	5.082499999999999800e-12	1.922302186928514019e+07	7.801246913521407805e+03	1.319694539933034452e+06	6.236336020457341647e+02	4.860753369919096120e+06	7.641329959417050759e+02	5.036716887210249901e+06	1.655646217860605134e+02
5.000000000000000000e+02	0.000000000000000000e+00	7.324762749999999656e+00	1.250707299892772173e-04	1.008339749999999757e+00	2.991132728590700288e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549742972500000000e+09	3.354101966249684708e+00	3.141592653589792917e+03	7.324762749999999954e-12	4.309726169798166305e+07	1.475102048201654725e+03	2.172759169991139695e+07	3.679705242745881719e+02	2.154788770343666524e+07	7.436569980089095679e+02	3.060064877674942091e+07	2.619773850141789922e+02
1.200000000000000000e+02	0.000000000000000000e+00	8.831929999999999836e+00	2.368543856465544508e-04	2.830705000000000027e+00	6.682252614202319717e-04	8.999999999999999667e-02	0.000000000000000000e+00	1.549742850250000000e+09	1.084838697687356657e+01	7.539822368615502910e+02	8.831929999999999506e-12	5.305039908050622046e+07	1.260380067777469776e+04	4.716434095828673989e+07	8.723374651875948985e+03	1.666169415685729496e+07	7.047195569451851952e+03	5.002086674785011262e+07	8.225259190068911266e+03
