#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
3.200000000000000000e+03	0.000000000000000000e+00	4.099728250000000074e+00	7.272680042439381987e-05	7.496099999999999985e-02	1.824828759089256640e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930530000000000e+09	7.071067811865475727e-01	2.010619298297467685e+04	4.099728249999999737e-12	1.618377050562130213e+08	3.950176366682897788e+04	9.043091364621632965e+05	2.205789117944624707e+02	1.206372829154044390e+07	2.141552498402342053e+02	1.209757476961404271e+07	2.201887927464235517e+01
1.600000000000000000e+04	0.000000000000000000e+00	3.902575000000000127e+00	1.785357107136370687e-04	4.490249999999999797e-02	1.785357107135506375e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930747250000000e+09	8.291561975888499525e-01	1.005309649148733733e+05	3.902575000000000060e-12	5.676470292345913500e+07	2.271897766099840373e+04	1.142206571410541801e+05	4.670994644551642239e+01	2.543748279963347130e+06	1.159759306433896171e+02	2.546311385187251959e+06	1.096050973948185003e+01
5.000000000000000000e+03	0.000000000000000000e+00	4.039374999999999716e+00	1.089724735885175770e-04	6.516749999999998932e-02	1.299038105676755337e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930775250000000e+09	8.291561975888499525e-01	3.141592653589793190e+04	4.039374999999999234e-12	1.209218807771255225e+08	2.432410918424551346e+04	5.113597686235607835e+05	1.056283931288470228e+02	7.846852627821549773e+06	2.103226354381120871e+02	7.863496994068014435e+06	1.601923649066879918e+01
4.000000000000000000e+02	0.000000000000000000e+00	4.594560500000000047e+00	3.051896951077357292e-04	1.680285000000000251e-01	5.765630928181356395e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930454750000000e+09	3.031088913245535199e+00	2.513274122871834606e+03	4.594560499999999646e-12	5.153867098339260817e+08	1.801298159300289408e+05	1.415165832769331522e+07	5.019309091255420753e+03	8.422177385201506317e+07	5.528736643485453897e+03	8.540243921694356203e+07	8.349535118565995617e+02
1.000000000000000000e+04	0.000000000000000000e+00	3.946074999999999999e+00	4.330127018912101317e-05	5.105750000000000566e-02	2.861380785564926745e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930473000000000e+09	7.071067811865475727e-01	6.283185307179586380e+04	3.946075000000000026e-12	7.899420820691844821e+07	4.427867295587412809e+04	2.053920676803383394e+05	1.146180655916462570e+02	4.022759980029149912e+06	4.545177046029274237e+01	4.027999970008705277e+06	8.915815128987562233e+00
4.000000000000000000e+03	0.000000000000000000e+00	4.065012499999999918e+00	6.647367900155541957e-05	6.930749999999999411e-02	1.639359631075975679e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930523750000000e+09	8.291561975888499525e-01	2.513274122871834334e+04	4.065012500000000093e-12	1.412270934995748699e+08	3.348477764409539668e+04	6.751454367084932746e+05	1.600613766803898272e+02	9.741304140367109329e+06	1.593109058208589204e+02	9.764672432592999190e+06	1.676382143664346813e+01
8.000000000000000000e+02	0.000000000000000000e+00	4.397599999999999731e+00	7.071067811880398088e-05	1.286674999999999902e-01	2.861380785564366009e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930736000000000e+09	7.071067811865475727e-01	5.026548245743669213e+03	4.397599999999999760e-12	3.515973215333979726e+08	7.839432276776504295e+04	5.726012127776536159e+06	1.248335535994407337e+03	4.450239670294780284e+07	7.639904948391667858e+02	4.486926038162411749e+07	1.616485335966317223e+02
2.000000000000000000e+04	0.000000000000000000e+00	3.881825000000000081e+00	7.632168761239596687e-05	4.204500000000000598e-02	4.031128874149196638e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930744750000000e+09	8.291561975888499525e-01	1.256637061435917276e+05	3.881824999999999769e-12	4.875732004013116658e+07	4.675665679316104070e+04	8.604021361106737459e+04	8.228785243590044729e+01	2.046383960306038149e+06	4.068638421337259103e+01	2.048191942020098679e+06	7.250077867642037432e+00
1.600000000000000000e+02	0.000000000000000000e+00	5.020674999999999777e+00	5.528788294009975629e-04	2.614225000000000021e-01	1.302775882490976665e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930880250000000e+09	7.495832175282474807e+00	1.005309649148733797e+03	5.020674999999999506e-12	7.578706283082715273e+08	3.867891367648492451e+05	4.848091560382537544e+07	2.377955720157889664e+04	1.854504321694780588e+08	2.153590558404826879e+04	1.916827117129539847e+08	6.016066234586712199e+03
1.200000000000000000e+03	0.000000000000000000e+00	4.296750000000000291e+00	4.330127018919793596e-04	1.093999999999999972e-01	1.000000000000028644e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930739250000000e+09	8.291561975888499525e-01	7.539822368615503365e+03	4.296750000000000245e-12	2.821509247152090073e+08	2.594703114198890107e+05	3.336946069464581553e+06	3.068950568822403966e+03	3.050224926384443790e+07	3.073675512829940999e+03	3.068423730882378668e+07	3.382715702935298054e+02
5.000000000000000000e+01	0.000000000000000000e+00	5.800684999999999647e+00	2.990029264070864085e-03	4.575600000000000223e-01	8.273632817571753301e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930829000000000e+09	2.392697222801079704e+01	3.141592653589793258e+02	5.800684999999999128e-12	1.199286082428267241e+09	2.254949250782175455e+06	2.076169860146289468e+08	3.105732284421263612e+05	4.537481117550243139e+08	3.326224131550404709e+05	4.989911440126454234e+08	1.292223508049865195e+05
6.000000000000000000e+01	0.000000000000000000e+00	5.634325000000000472e+00	2.940794960550335499e-03	4.128657500000000313e-01	7.681010268838479958e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930688000000000e+09	2.236067977499789805e+01	3.769911184307751455e+02	5.634325000000000632e-12	1.140297389623083115e+09	2.203331560019511264e+06	1.660657081906220615e+08	2.713938000990150613e+05	4.022268938283741474e+08	2.708938466002583737e+05	4.351600780812447071e+08	1.035703689239626547e+05
3.200000000000000000e+02	0.000000000000000000e+00	4.676972250000000386e+00	3.180490331691841863e-04	1.852834999999999899e-01	4.565358693465637905e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930466500000000e+09	3.354101966249684708e+00	2.010619298297467594e+03	4.676972250000000504e-12	5.739428028624135256e+08	1.467057560436322528e+05	1.904947430364823341e+07	5.190433229460970324e+03	1.028125780420179665e+08	6.756565446706204966e+03	1.045624630299582630e+08	9.490550070006073611e+02
8.000000000000000000e+03	0.000000000000000000e+00	3.978125000000000355e+00	1.920286436968313907e-04	5.575249999999999651e-02	2.861380785564926745e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930772750000000e+09	8.291561975888499525e-01	5.026548245743668667e+04	3.978125000000000480e-12	8.969895281804530323e+07	4.623928882959521434e+04	2.779509891599310213e+05	1.448851281748518147e+02	4.985444404464931227e+06	2.396914299296129798e+02	4.993186624029356055e+06	1.743547748976014944e+01
1.600000000000000000e+03	0.000000000000000000e+00	4.238039999999999807e+00	5.338539125996558647e-05	9.889499999999999680e-02	4.999999999998061551e-06	1.000000000000000056e-01	0.000000000000000000e+00	1.552930897250000000e+09	8.291561975888499525e-01	1.005309649148733843e+04	4.238039999999999984e-12	2.373344393367843926e+08	1.236614176444039185e+04	2.298701465158464387e+06	1.307064019899084713e+02	2.324385929681444913e+07	2.880814166092679898e+02	2.335724777100309730e+07	2.123110410648247992e+01
2.000000000000000000e+02	0.000000000000000000e+00	4.889942500000000081e+00	6.356640228926879396e-04	2.317065000000000097e-01	1.075511506214560229e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930629000000000e+09	6.708203932499369415e+00	1.256637061435917303e+03	4.889942500000000295e-12	7.023412343216921091e+08	3.385489115599868237e+05	3.578595462856470048e+07	1.783170172182277747e+04	1.544451909142156243e+08	1.956203943914091724e+04	1.585369090944004953e+08	4.027390124411270335e+03
8.000000000000000000e+01	0.000000000000000000e+00	5.399317499999999548e+00	1.925439884805597423e-03	3.523320000000000340e-01	4.841296314005165869e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930504000000000e+09	1.341640786499873883e+01	5.026548245743668986e+02	5.399317499999999828e-12	1.045777248362079859e+09	1.484577912258923054e+06	1.154845273072671294e+08	1.472557057823515497e+05	3.277718949946843386e+08	1.373126672322481463e+05	3.475213535824659467e+08	4.893566721399066591e+04
2.000000000000000000e+03	0.000000000000000000e+00	4.192269999999999719e+00	4.636809247754284275e-05	9.075400000000000134e-02	3.489985673323140164e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930862750000000e+09	8.291561975888499525e-01	1.256637061435917167e+04	4.192269999999999867e-12	2.091583056069153249e+08	8.046602335821661109e+04	1.708615500273096375e+06	6.476738016746191988e+02	1.882688917593820766e+07	2.365561222172404996e+02	1.890426203190256283e+07	6.050925119597719970e+01
6.000000000000000000e+02	0.000000000000000000e+00	4.479827499999999851e+00	9.202581159650232530e-05	1.447650000000000048e-01	2.692582403567754401e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930732500000000e+09	1.118033988749894903e+00	3.769911184307751682e+03	4.479827500000000078e-12	4.090195015970277786e+08	7.653889088083480601e+04	8.395832268999231979e+06	1.544012459506794357e+03	5.799628549027205259e+07	1.226268175923992885e+03	5.860084581435927749e+07	2.239113524436675959e+02
2.400000000000000000e+03	0.000000000000000000e+00	4.155574999999999797e+00	6.538348415316487289e-05	8.415250000000000508e-02	2.165063509461218576e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930742000000000e+09	7.071067811865475727e-01	1.507964473723100673e+04	4.155574999999999890e-12	1.896316144754012525e+08	4.887929877964726620e+04	1.333460353303079959e+06	3.414297320351867029e+02	1.584576041475986876e+07	2.524319909940522848e+02	1.590176844366066158e+07	3.271680320888762594e+01
1.200000000000000000e+04	0.000000000000000000e+00	3.934090000000000309e+00	7.280109889279412364e-05	4.933250000000000135e-02	2.861380785564926745e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930894250000000e+09	8.291561975888499525e-01	7.539822368615503365e+04	3.934090000000000254e-12	6.833787498944666982e+07	3.965746249973112572e+04	1.659098087211614184e+05	9.600798772972004258e+01	3.363093472278141417e+06	6.265331636125299042e+01	3.367183358225348871e+06	9.213002579341848630e+00
1.000000000000000000e+02	0.000000000000000000e+00	5.260302499999999881e+00	1.388477133409019232e-03	3.180752500000000316e-01	3.656865973753989254e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930557500000000e+09	1.229837387624884393e+01	6.283185307179586516e+02	5.260302499999999941e-12	9.512168502426031828e+08	1.122052538268246921e+06	8.739451626561836898e+07	9.400071515987289604e+04	2.747605048353129029e+08	8.397155271835415624e+04	2.883247066948260069e+08	2.849403002837522581e+04
1.000000000000000000e+03	0.000000000000000000e+00	4.330807499999999699e+00	7.189401922256058192e-05	1.158990000000000020e-01	1.982422760159836052e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930526500000000e+09	1.118033988749894903e+00	6.283185307179585834e+03	4.330807499999999568e-12	3.170819808589850664e+08	5.449089388580339437e+04	4.202774408118093386e+06	7.164599986053309522e+02	3.626238714844902605e+07	6.088589534518639539e+02	3.650512339973025769e+07	8.604963583188252585e+01
2.400000000000000000e+02	0.000000000000000000e+00	4.817079999999999806e+00	4.552471856036915824e-04	2.155162500000000203e-01	8.860128385073907052e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930762500000000e+09	6.264982043070833839e+00	1.507964473723100582e+03	4.817079999999999504e-12	6.387707326197667122e+08	2.694556507740776287e+05	2.835226177041542530e+07	1.204150794666215734e+04	1.315550997681865096e+08	1.235390441383375037e+04	1.345756108011985421e+08	2.539219159293418670e+03
6.000000000000000000e+03	0.000000000000000000e+00	4.016249999999999432e+00	8.291561975891268647e-04	6.147500000000000187e-02	2.165063509461098636e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930891750000000e+09	8.291561975888499525e-01	3.769911184307751682e+04	4.016249999999999573e-12	1.074359442769006193e+08	3.790239080574688851e+05	4.044906606149848085e+05	1.426000019381281618e+03	6.579758611061159521e+06	1.359448407210105870e+03	6.592179918233286589e+06	9.492239037039384186e+01
5.000000000000000000e+02	0.000000000000000000e+00	4.536528999999999812e+00	1.631057938887189830e-04	1.561700000000000033e-01	4.759726882920363379e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552930725500000000e+09	3.354101966249684708e+00	3.141592653589792917e+03	4.536529000000000086e-12	4.492921446595503092e+08	1.378841329466819006e+05	1.069692893550412729e+07	3.215388818596160945e+03	6.849541483962428570e+07	2.550064508146077060e+03	6.932565284729346633e+07	4.986360398178571245e+02
1.200000000000000000e+02	0.000000000000000000e+00	5.154707500000000664e+00	1.265096340204908574e-03	2.927742500000000136e-01	3.254830064688587609e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552930599000000000e+09	1.118033988749894903e+01	7.539822368615502910e+02	5.154707500000000530e-12	8.788241481588311195e+08	1.000530827222136082e+06	6.938269956724110246e+07	7.354372893882601056e+04	2.369836130303163528e+08	6.491342984317387891e+04	2.469315529537300169e+08	2.066572539449258329e+04
