Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
400.00	4.59410	0.167950	0.100	03-18-2019-13:34:11
400.00	4.59454	0.168001	0.100	03-18-2019-13:34:13
400.00	4.594652	0.168062	0.100	03-18-2019-13:34:16
400.00	4.59495	0.168101	0.100	03-18-2019-13:34:19
320.00	4.676599	0.185222	0.100	03-18-2019-13:34:22
320.00	4.67672	0.185265	0.100	03-18-2019-13:34:25
320.00	4.67723	0.185301	0.100	03-18-2019-13:34:28
320.00	4.67734	0.185346	0.100	03-18-2019-13:34:31
10000.0	3.9460	0.05106	0.100	03-18-2019-13:34:32
10000.0	3.9461	0.05108	0.100	03-18-2019-13:34:33
10000.0	3.9461	0.05101	0.100	03-18-2019-13:34:33
10000.0	3.9461	0.05108	0.100	03-18-2019-13:34:34
80.000	5.39666	0.351687	0.100	03-18-2019-13:34:46
80.000	5.39857	0.352111	0.100	03-18-2019-13:34:58
80.000	5.40018	0.352544	0.100	03-18-2019-13:35:10
80.000	5.40186	0.352986	0.100	03-18-2019-13:35:22
4000.0	4.06497	0.06928	0.100	03-18-2019-13:35:23
4000.0	4.0651	0.06932	0.100	03-18-2019-13:35:23
4000.0	4.06505	0.06932	0.100	03-18-2019-13:35:24
4000.0	4.06493	0.06931	0.100	03-18-2019-13:35:25
1000.0	4.3307	0.11589	0.100	03-18-2019-13:35:25
1000.0	4.33083	0.115876	0.100	03-18-2019-13:35:26
1000.0	4.3309	0.11590	0.100	03-18-2019-13:35:27
1000.0	4.3308	0.11593	0.100	03-18-2019-13:35:28
3200.0	4.09967	0.074954	0.100	03-18-2019-13:35:29
3200.0	4.099643	0.074960	0.100	03-18-2019-13:35:30
3200.0	4.09981	0.07499	0.100	03-18-2019-13:35:30
3200.0	4.09979	0.07494	0.100	03-18-2019-13:35:31
100.00	5.25842	0.317574	0.100	03-18-2019-13:35:41
100.00	5.25967	0.317932	0.100	03-18-2019-13:35:52
100.00	5.26101	0.318231	0.100	03-18-2019-13:36:03
100.00	5.26211	0.318564	0.100	03-18-2019-13:36:14
120.00	5.15319	0.292297	0.100	03-18-2019-13:36:24
120.00	5.1539	0.29269	0.100	03-18-2019-13:36:34
120.00	5.15526	0.29293	0.100	03-18-2019-13:36:44
120.00	5.15648	0.29318	0.100	03-18-2019-13:36:54
200.00	4.88913	0.231578	0.100	03-18-2019-13:37:00
200.00	4.88955	0.231659	0.100	03-18-2019-13:37:06
200.00	4.89035	0.231717	0.100	03-18-2019-13:37:12
200.00	4.89074	0.231872	0.100	03-18-2019-13:37:18
60.000	5.63034	0.41183	0.100	03-18-2019-13:37:38
60.000	5.63304	0.41254	0.100	03-18-2019-13:37:58
60.000	5.63570	0.41319	0.100	03-18-2019-13:38:18
60.000	5.63822	0.413903	0.100	03-18-2019-13:38:38
500.00	4.53630	0.156120	0.100	03-18-2019-13:38:41
500.00	4.536473	0.156134	0.100	03-18-2019-13:38:44
500.00	4.53660	0.156185	0.100	03-18-2019-13:38:47
500.00	4.536743	0.156241	0.100	03-18-2019-13:38:50
600.00	4.47992	0.14478	0.100	03-18-2019-13:38:51
600.00	4.47991	0.14473	0.100	03-18-2019-13:38:52
600.00	4.47978	0.14475	0.100	03-18-2019-13:38:53
600.00	4.4797	0.14480	0.100	03-18-2019-13:38:54
800.00	4.3975	0.12862	0.100	03-18-2019-13:38:55
800.00	4.3976	0.12869	0.100	03-18-2019-13:38:56
800.00	4.3976	0.12869	0.100	03-18-2019-13:38:56
800.00	4.3977	0.12867	0.100	03-18-2019-13:38:57
1200.0	4.297	0.1095	0.100	03-18-2019-13:38:58
1200.0	4.296	0.1093	0.100	03-18-2019-13:38:59
1200.0	4.297	0.1093	0.100	03-18-2019-13:39:00
1200.0	4.297	0.1095	0.100	03-18-2019-13:39:00
2400.0	4.15548	0.08415	0.100	03-18-2019-13:39:01
2400.0	4.15556	0.08412	0.100	03-18-2019-13:39:02
2400.0	4.15566	0.08418	0.100	03-18-2019-13:39:02
2400.0	4.1556	0.08416	0.100	03-18-2019-13:39:03
20000.0	3.88183	0.04209	0.100	03-18-2019-13:39:04
20000.0	3.8817	0.04206	0.100	03-18-2019-13:39:04
20000.0	3.8819	0.04198	0.100	03-18-2019-13:39:05
20000.0	3.88187	0.04205	0.100	03-18-2019-13:39:06
16000.0	3.9026	0.0449	0.100	03-18-2019-13:39:06
16000.0	3.9026	0.04493	0.100	03-18-2019-13:39:07
16000.0	3.9028	0.04488	0.100	03-18-2019-13:39:08
16000.0	3.9023	0.04490	0.100	03-18-2019-13:39:08
240.00	4.81647	0.215394	0.100	03-18-2019-13:39:14
240.00	4.81685	0.215485	0.100	03-18-2019-13:39:20
240.00	4.81734	0.215550	0.100	03-18-2019-13:39:25
240.00	4.81766	0.215636	0.100	03-18-2019-13:39:31
8000.0	3.9782	0.05575	0.100	03-18-2019-13:39:32
8000.0	3.9778	0.05573	0.100	03-18-2019-13:39:32
8000.0	3.9783	0.05573	0.100	03-18-2019-13:39:33
8000.0	3.9782	0.05580	0.100	03-18-2019-13:39:34
5000.0	4.03920	0.06516	0.100	03-18-2019-13:39:34
5000.0	4.0394	0.06516	0.100	03-18-2019-13:39:35
5000.0	4.0395	0.06519	0.100	03-18-2019-13:39:36
5000.0	4.0394	0.06516	0.100	03-18-2019-13:39:36
50.000	5.79668	0.456444	0.100	03-18-2019-13:39:57
50.000	5.79930	0.457198	0.100	03-18-2019-13:40:18
50.000	5.80210	0.457932	0.100	03-18-2019-13:40:40
50.000	5.80466	0.458666	0.100	03-18-2019-13:41:01
2000.0	4.19219	0.09072	0.100	03-18-2019-13:41:02
2000.0	4.1923	0.09073	0.100	03-18-2019-13:41:02
2000.0	4.19229	0.090756	0.100	03-18-2019-13:41:03
2000.0	4.1923	0.09081	0.100	03-18-2019-13:41:04
160.00	5.01994	0.261262	0.100	03-18-2019-13:41:10
160.00	5.02040	0.261347	0.100	03-18-2019-13:41:17
160.00	5.02096	0.261475	0.100	03-18-2019-13:41:24
160.00	5.02140	0.261606	0.100	03-18-2019-13:41:30
6000.0	4.016	0.0616	0.100	03-18-2019-13:41:31
6000.0	4.015	0.0616	0.100	03-18-2019-13:41:31
6000.0	4.017	0.0611	0.100	03-18-2019-13:41:32
6000.0	4.017	0.0616	0.100	03-18-2019-13:41:33
12000.0	3.9340	0.04931	0.100	03-18-2019-13:41:33
12000.0	3.9341	0.04931	0.100	03-18-2019-13:41:34
12000.0	3.9342	0.04938	0.100	03-18-2019-13:41:35
12000.0	3.93406	0.04933	0.100	03-18-2019-13:41:35
1600.0	4.2380	0.09889	0.100	03-18-2019-13:41:36
1600.0	4.2380	0.09889	0.100	03-18-2019-13:41:37
1600.0	4.23803	0.09890	0.100	03-18-2019-13:41:38
1600.0	4.23813	0.09890	0.100	03-18-2019-13:41:38
