Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
80.000	4.20083	0.089637	0.100	03-18-2019-13:16:10
80.000	4.20107	0.089764	0.100	03-18-2019-13:16:22
80.000	4.20112	0.089814	0.100	03-18-2019-13:16:34
80.000	4.20150	0.089810	0.100	03-18-2019-13:16:46
1200.0	3.855	0.0375	0.100	03-18-2019-13:16:46
1200.0	3.855	0.0375	0.100	03-18-2019-13:16:47
1200.0	3.856	0.0375	0.100	03-18-2019-13:16:48
1200.0	3.856	0.0375	0.100	03-18-2019-13:16:49
400.00	3.96207	0.052075	0.100	03-18-2019-13:16:51
400.00	3.96208	0.052073	0.100	03-18-2019-13:16:54
400.00	3.962046	0.052116	0.100	03-18-2019-13:16:57
400.00	3.96203	0.052112	0.100	03-18-2019-13:17:00
500.00	3.93771	0.048637	0.100	03-18-2019-13:17:03
500.00	3.93767	0.048650	0.100	03-18-2019-13:17:06
500.00	3.93775	0.048654	0.100	03-18-2019-13:17:08
500.00	3.937727	0.048665	0.100	03-18-2019-13:17:11
100.00	4.16055	0.082947	0.100	03-18-2019-13:17:22
100.00	4.16080	0.082943	0.100	03-18-2019-13:17:32
100.00	4.16093	0.083018	0.100	03-18-2019-13:17:43
100.00	4.16111	0.083047	0.100	03-18-2019-13:17:53
240.00	4.02565	0.06145	0.100	03-18-2019-13:17:59
240.00	4.02552	0.061468	0.100	03-18-2019-13:18:05
240.00	4.02584	0.06152	0.100	03-18-2019-13:18:10
240.00	4.02567	0.061599	0.100	03-18-2019-13:18:16
50.000	4.30267	0.107469	0.100	03-18-2019-13:18:37
50.000	4.30303	0.107590	0.100	03-18-2019-13:18:58
50.000	4.30363	0.107667	0.100	03-18-2019-13:19:18
50.000	4.30382	0.107711	0.100	03-18-2019-13:19:39
12000.0	3.71213	0.02154	0.100	03-18-2019-13:19:40
12000.0	3.7121	0.02160	0.100	03-18-2019-13:19:41
12000.0	3.7123	0.02161	0.100	03-18-2019-13:19:41
12000.0	3.71221	0.021578	0.100	03-18-2019-13:19:42
60.000	4.26380	0.10057	0.100	03-18-2019-13:20:01
60.000	4.26390	0.10062	0.100	03-18-2019-13:20:21
60.000	4.26442	0.10076	0.100	03-18-2019-13:20:41
60.000	4.26456	0.10080	0.100	03-18-2019-13:21:00
10000.0	3.7214	0.02244	0.100	03-18-2019-13:21:01
10000.0	3.7212	0.02252	0.100	03-18-2019-13:21:02
10000.0	3.7213	0.02252	0.100	03-18-2019-13:21:02
10000.0	3.7213	0.02249	0.100	03-18-2019-13:21:03
120.00	4.13246	0.07822	0.100	03-18-2019-13:21:13
120.00	4.13272	0.078304	0.100	03-18-2019-13:21:23
120.00	4.13266	0.078331	0.100	03-18-2019-13:21:33
120.00	4.13216	0.078396	0.100	03-18-2019-13:21:43
1000.0	3.87296	0.039945	0.100	03-18-2019-13:21:44
1000.0	3.8731	0.03989	0.100	03-18-2019-13:21:45
1000.0	3.8731	0.03996	0.100	03-18-2019-13:21:46
1000.0	3.8731	0.03994	0.100	03-18-2019-13:21:47
16000.0	3.6992	0.0203	0.100	03-18-2019-13:21:47
16000.0	3.6992	0.0204	0.100	03-18-2019-13:21:48
16000.0	3.6998	0.0204	0.100	03-18-2019-13:21:49
16000.0	3.6994	0.0204	0.100	03-18-2019-13:21:49
1600.0	3.83455	0.03509	0.100	03-18-2019-13:21:50
1600.0	3.83445	0.03508	0.100	03-18-2019-13:21:51
1600.0	3.83464	0.03508	0.100	03-18-2019-13:21:51
1600.0	3.83464	0.03511	0.100	03-18-2019-13:21:52
2000.0	3.81795	0.033103	0.100	03-18-2019-13:21:53
2000.0	3.8179	0.03305	0.100	03-18-2019-13:21:54
2000.0	3.817934	0.033059	0.100	03-18-2019-13:21:54
2000.0	3.81789	0.03305	0.100	03-18-2019-13:21:55
800.00	3.8934	0.04264	0.100	03-18-2019-13:21:56
800.00	3.8933	0.04264	0.100	03-18-2019-13:21:57
800.00	3.8934	0.04264	0.100	03-18-2019-13:21:58
800.00	3.8934	0.04264	0.100	03-18-2019-13:21:59
8000.0	3.7326	0.02362	0.100	03-18-2019-13:21:59
8000.0	3.7330	0.02364	0.100	03-18-2019-13:22:00
8000.0	3.7328	0.02364	0.100	03-18-2019-13:22:01
8000.0	3.7328	0.02359	0.100	03-18-2019-13:22:01
4000.0	3.77177	0.02774	0.100	03-18-2019-13:22:02
4000.0	3.77179	0.02778	0.100	03-18-2019-13:22:03
4000.0	3.7719	0.02778	0.100	03-18-2019-13:22:03
4000.0	3.77179	0.027819	0.100	03-18-2019-13:22:04
160.00	4.086654	0.070944	0.100	03-18-2019-13:22:11
160.00	4.08667	0.070954	0.100	03-18-2019-13:22:17
160.00	4.08674	0.070983	0.100	03-18-2019-13:22:24
160.00	4.08693	0.071000	0.100	03-18-2019-13:22:30
3200.0	3.78586	0.02937	0.100	03-18-2019-13:22:31
3200.0	3.7858	0.02931	0.100	03-18-2019-13:22:31
3200.0	3.78592	0.029345	0.100	03-18-2019-13:22:32
3200.0	3.78596	0.029339	0.100	03-18-2019-13:22:33
6000.0	3.747	0.0253	0.100	03-18-2019-13:22:34
6000.0	3.749	0.0248	0.100	03-18-2019-13:22:34
6000.0	3.749	0.0258	0.100	03-18-2019-13:22:35
6000.0	3.749	0.0250	0.100	03-18-2019-13:22:36
200.00	4.05383	0.065812	0.100	03-18-2019-13:22:41
200.00	4.05375	0.065792	0.100	03-18-2019-13:22:47
200.00	4.05406	0.065859	0.100	03-18-2019-13:22:53
200.00	4.05430	0.065833	0.100	03-18-2019-13:22:59
600.00	3.92171	0.04650	0.100	03-18-2019-13:23:00
600.00	3.92179	0.04646	0.100	03-18-2019-13:23:01
600.00	3.92171	0.04643	0.100	03-18-2019-13:23:02
600.00	3.92187	0.04640	0.100	03-18-2019-13:23:04
320.00	3.99208	0.056496	0.100	03-18-2019-13:23:07
320.00	3.99208	0.05653	0.100	03-18-2019-13:23:10
320.00	3.99190	0.05640	0.100	03-18-2019-13:23:13
320.00	3.99198	0.056480	0.100	03-18-2019-13:23:16
5000.0	3.7590	0.02631	0.100	03-18-2019-13:23:16
5000.0	3.7591	0.02625	0.100	03-18-2019-13:23:17
5000.0	3.7589	0.02641	0.100	03-18-2019-13:23:18
5000.0	3.7588	0.02633	0.100	03-18-2019-13:23:18
20000.0	3.69025	0.01950	0.100	03-18-2019-13:23:19
20000.0	3.6901	0.01948	0.100	03-18-2019-13:23:20
20000.0	3.69027	0.019523	0.100	03-18-2019-13:23:20
20000.0	3.6901	0.01948	0.100	03-18-2019-13:23:21
2400.0	3.80567	0.03139	0.100	03-18-2019-13:23:22
2400.0	3.80555	0.031390	0.100	03-18-2019-13:23:22
2400.0	3.80581	0.031333	0.100	03-18-2019-13:23:23
2400.0	3.80572	0.031379	0.100	03-18-2019-13:23:24
