Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
100.00	8.46701	2.020705	0.0750	03-18-2019-14:15:29
100.00	8.46719	2.02098	0.0750	03-18-2019-14:15:39
100.00	8.46690	2.02141	0.0750	03-18-2019-14:15:50
100.00	8.46695	2.02177	0.0750	03-18-2019-14:16:00
60.000	8.9240	3.05852	0.0450	03-18-2019-14:16:20
60.000	8.9253	3.05947	0.0450	03-18-2019-14:16:39
60.000	8.9226	3.06187	0.0450	03-18-2019-14:16:58
60.000	8.9220	3.06356	0.0450	03-18-2019-14:17:18
10000.0	4.51798	0.16586	0.100	03-18-2019-14:17:18
10000.0	4.5179	0.16589	0.100	03-18-2019-14:17:19
10000.0	4.5176	0.16588	0.100	03-18-2019-14:17:20
10000.0	4.5177	0.16591	0.100	03-18-2019-14:17:20
2000.0	5.28850	0.34982	0.100	03-18-2019-14:17:21
2000.0	5.28863	0.34975	0.100	03-18-2019-14:17:22
2000.0	5.2884	0.34978	0.100	03-18-2019-14:17:22
2000.0	5.2884	0.34980	0.100	03-18-2019-14:17:23
600.00	6.3090	0.65141	0.100	03-18-2019-14:17:24
600.00	6.3091	0.65153	0.100	03-18-2019-14:17:25
600.00	6.30921	0.651457	0.100	03-18-2019-14:17:26
600.00	6.30914	0.651496	0.100	03-18-2019-14:17:27
80.000	8.69161	2.41249	0.0600	03-18-2019-14:17:39
80.000	8.6909	2.41333	0.0600	03-18-2019-14:17:51
80.000	8.6911	2.41405	0.0600	03-18-2019-14:18:03
80.000	8.6903	2.41484	0.0600	03-18-2019-14:18:15
320.00	7.03212	0.931771	0.100	03-18-2019-14:18:18
320.00	7.03219	0.931797	0.100	03-18-2019-14:18:21
320.00	7.03222	0.931873	0.100	03-18-2019-14:18:24
320.00	7.03240	0.931902	0.100	03-18-2019-14:18:27
1600.0	5.44405	0.391093	0.100	03-18-2019-14:18:28
1600.0	5.44402	0.39113	0.100	03-18-2019-14:18:29
1600.0	5.44394	0.39109	0.100	03-18-2019-14:18:30
1600.0	5.4441	0.39108	0.100	03-18-2019-14:18:30
120.00	8.26293	1.77132	0.100	03-18-2019-14:18:41
120.00	8.26312	1.771675	0.100	03-18-2019-14:18:51
120.00	8.26358	1.77199	0.100	03-18-2019-14:19:01
120.00	8.26372	1.77228	0.100	03-18-2019-14:19:12
500.00	6.508572	0.721537	0.100	03-18-2019-14:19:14
500.00	6.508501	0.721581	0.100	03-18-2019-14:19:17
500.00	6.50851	0.721612	0.100	03-18-2019-14:19:20
500.00	6.50865	0.721601	0.100	03-18-2019-14:19:23
2400.0	5.17431	0.320611	0.100	03-18-2019-14:19:24
2400.0	5.17440	0.320578	0.100	03-18-2019-14:19:24
2400.0	5.17447	0.320591	0.100	03-18-2019-14:19:25
2400.0	5.17449	0.32058	0.100	03-18-2019-14:19:26
200.00	7.62938	1.248398	0.100	03-18-2019-14:19:32
200.00	7.62923	1.248544	0.100	03-18-2019-14:19:38
200.00	7.62962	1.248606	0.100	03-18-2019-14:19:44
200.00	7.63020	1.248663	0.100	03-18-2019-14:19:51
6000.0	4.711	0.2087	0.100	03-18-2019-14:19:51
6000.0	4.710	0.2082	0.100	03-18-2019-14:19:52
6000.0	4.710	0.2087	0.100	03-18-2019-14:19:53
6000.0	4.711	0.2084	0.100	03-18-2019-14:19:53
8000.0	4.59759	0.18327	0.100	03-18-2019-14:19:54
8000.0	4.5974	0.18323	0.100	03-18-2019-14:19:55
8000.0	4.5977	0.18334	0.100	03-18-2019-14:19:55
8000.0	4.59744	0.18324	0.100	03-18-2019-14:19:56
12000.0	4.45991	0.15356	0.100	03-18-2019-14:19:56
12000.0	4.45987	0.153604	0.100	03-18-2019-14:19:57
12000.0	4.45985	0.15363	0.100	03-18-2019-14:19:58
12000.0	4.45955	0.15359	0.100	03-18-2019-14:19:58
50.000	9.0201	3.6144	0.0125	03-18-2019-14:20:19
50.000	9.0199	3.6162	0.0125	03-18-2019-14:20:39
50.000	9.0196	3.6176	0.0125	03-18-2019-14:21:00
50.000	9.0175	3.6198	0.0125	03-18-2019-14:21:20
240.00	7.398579	1.113173	0.100	03-18-2019-14:21:26
240.00	7.39861	1.113229	0.100	03-18-2019-14:21:32
240.00	7.39838	1.113351	0.100	03-18-2019-14:21:38
240.00	7.39860	1.113451	0.100	03-18-2019-14:21:44
1200.0	5.669	0.4531	0.100	03-18-2019-14:21:45
1200.0	5.668	0.4532	0.100	03-18-2019-14:21:46
1200.0	5.668	0.4532	0.100	03-18-2019-14:21:46
1200.0	5.668	0.4532	0.100	03-18-2019-14:21:47
5000.0	4.7897	0.22684	0.100	03-18-2019-14:21:48
5000.0	4.7896	0.22680	0.100	03-18-2019-14:21:48
